Date	Weeks since Feb-21st	Beta	Weekly new cases	
2020-02-21	0	nan		0
2020-02-28	1	nan		0
2020-03-06	2	11		12
2020-03-13	3	5.434782609		138
2020-03-20	4	2.487789988		819
2020-03-27	5	1.86085002		2447
2020-04-03	6	1.333996884		5777
2020-04-10	7	0.811278905		10595
2020-04-17	8	0.890124523		13893
2020-04-24	9	1.525267954		19313
2020-05-01	10	0.875031958		39114
2020-05-08	11	0.844867337		53783
2020-05-15	12	1.057658542		72331
2020-05-22	13	0.719949053		112667
2020-05-29	14	0.792619754		137448
2020-06-05	15	0.535054146		177668
2020-06-12	16	0.634695698		183896
2020-06-19	17	0.657284848		208666
2020-06-26	18	0.590278525		241486
2020-07-03	19			263287
