Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	nan	0
2020-02-28	1	9.775862069	58
2020-03-06	2	4.541946309	596
2020-03-13	3	4.88202995	3005
2020-03-20	4	1.418196995	16173
2020-03-27	5	0.798649389	31023
2020-04-03	6	0.269757744	40288
2020-04-10	7	0.119953566	31012
2020-04-17	8	0.207479455	19226
2020-04-24	9	0.167401853	13602
2020-05-01	10	0.217228464	9078
2020-05-08	11	0.284979266	6511
2020-05-15	12	0.285364899	5111
2020-05-22	13	0.323617339	4014
2020-05-29	14	0.224440411	3306
2020-06-05	15	0.272025052	2395
2020-06-12	16	1.343699297	1849
2020-06-19	17	0.596802581	3409
2020-06-26	18	0.195640546	3739
2020-07-03	19		2601
