Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	47.722	18
2020-02-28	1	3.817	868
2020-03-06	2	2.976	3747
2020-03-13	3	1.754	13024
2020-03-20	4	0.845	29361
2020-03-27	5	0.344	39477
2020-04-03	6	0.333	33329
2020-04-10	7	0.396	27750
2020-04-17	8	0.327	24857
2020-04-24	9	0.202	20560
2020-05-01	10	0.176	14434
2020-05-08	11	0.187	9757
2020-05-15	12	0.212	6700
2020-05-22	13	0.252	4773
2020-05-29	14	0.136	3590
2020-06-05	15	0.277	2283
2020-06-12	16	0.688	1774
2020-06-19	17	0.242	2107
2020-06-26	18	0.282	1563
2020-07-03	19		1223
