Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	1.714285714	56
2020-02-28	1	1.008064516	124
2020-03-06	2	1.179144385	187
2020-03-13	3	0.369426752	314
2020-03-20	4	1.302197802	273
2020-03-27	5	2.418699187	492
2020-04-03	6	1.637883008	1436
2020-04-10	7	0.731921824	3070
2020-04-17	8	0.273400317	3782
2020-04-24	9	0.044615385	2925
2020-05-01	10	0.297237916	1593
2020-05-08	11	-0.005511811	1270
2020-05-15	12	-0.006369427	628
2020-05-22	13	0.164516129	310
2020-05-29	14	1.174757282	206
2020-06-05	15	0.276811594	345
2020-06-12	16	1.02238806	268
2020-06-19	17	0.620098039	408
2020-06-26	18	1.405908096	457
2020-07-03	19		871
