Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	nan	0
2020-02-28	1	nan	0
2020-03-06	2	1.75	4
2020-03-13	3	16.05555556	9
2020-03-20	4	2.325503356	149
2020-03-27	5	1.697149644	421
2020-04-03	6	1.587567568	925
2020-04-10	7	0.979026411	1931
2020-04-17	8	1.368347339	2856
2020-04-24	9	0.922601199	5336
2020-05-01	10	0.868989593	7591
2020-05-08	11	0.748941493	10392
2020-05-15	12	0.807650821	12979
2020-05-22	13	0.786412915	16972
2020-05-29	14	0.612078047	21833
2020-06-05	15	0.665321252	24280
2020-06-12	16	0.612638722	28294
2020-06-19	17	0.691067628	31481
2020-06-26	18	0.448367826	37496
2020-07-03	19		35560
