Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	11.25690608	181
2020-02-28	1	1.5	2128
2020-03-06	2	-0.174342105	4256
2020-03-13	3	-0.014430014	1386
2020-03-20	4	0.510401189	673
2020-03-27	5	0.573529412	680
2020-04-03	6	0.031506849	730
2020-04-10	7	-0.023195876	388
2020-04-17	8	-0.105405405	185
2020-04-24	9	0.404109589	73
2020-05-01	10	0.227272727	66
2020-05-08	11	3.583333333	48
2020-05-15	12	0.132653061	196
2020-05-22	13	1.596774194	124
2020-05-29	14	0.523076923	260
2020-06-05	15	0.759398496	266
2020-06-12	16	0.404477612	335
2020-06-19	17	0.47689769	303
2020-06-26	18	0.733108108	296
2020-07-03	19		365
