Date	Weeks since Feb-21st	Beta	Weekly new cases
2020-02-21	0	0.9	20
2020-02-28	1	8.642857143	28
2020-03-06	2	6.78515625	256
2020-03-13	3	8.837265416	1865
2020-03-20	4	4.434478006	17414
2020-03-27	5	1.583452618	85929
2020-04-03	6	0.76781136	179029
2020-04-10	7	0.406844366	226975
2020-04-17	8	0.524971943	205831
2020-04-24	9	0.477778936	210971
2020-05-01	10	0.426474794	206283
2020-05-08	11	0.371528286	191116
2020-05-15	12	0.489319357	166563
2020-05-22	13	0.413316827	164784
2020-05-29	14	0.55069103	150500
2020-06-05	15	0.459248462	158129
2020-06-12	16	0.685740185	151685
2020-06-19	17	0.907307947	179859
2020-06-26	18	0.83622791	253117
2020-07-03	19		338222
